time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1523504416.48931003,0.00999231,7197,0.00245117,0.00000000,0,0.00000000,1755,2869,1366,0.00000000
1523504416.59016299,0.00652665,6014,0.00141137,0.00000000,0,0.00000000,2869,3465,938,0.00000018
1523504416.69102097,0.00602431,6077,0.00131420,0.00000000,0,0.00000000,3465,4040,863,0.00000017
1523504416.79188108,0.00502747,6077,0.00058115,0.00000000,0,0.00000000,3847,4188,397,0.00000022
1523504416.89274406,0.00457368,6077,0.00040790,0.00000000,0,0.00000000,4188,4284,230,0.00000014
1523504416.99360204,0.00453163,6077,0.00042383,0.00000000,0,0.00000000,4284,4340,229,0.00000013
1523504417.09446001,0.00432472,6077,0.00031876,0.00000000,0,0.00000000,4340,4299,140,0.00000019
1523504417.19531894,0.00427295,6077,0.00031006,0.00000000,0,0.00000000,4299,4297,160,0.00000028
1523504417.29617596,0.00413869,6077,0.00015399,0.00000000,0,0.00000000,4297,4289,67,0.00000010
1523504417.39703608,0.00423090,6077,0.00022047,0.00000000,0,0.00000000,4289,4267,95,0.00000008
1523504417.49788094,0.00403825,6077,0.00007902,0.00000000,0,0.00000000,4267,4269,36,0.00000013
1523504417.59873891,0.00391833,6077,0.00001079,0.00000000,0,0.00000000,4269,4264,4,0.00000010
1523504417.69959688,0.00392293,6077,0.00007208,0.00000000,0,0.00000000,4264,4260,32,0.00000006
1523504417.80045390,0.00496472,6142,0.00095990,0.00000000,0,0.00000000,4260,4733,753,0.00000009
1523504417.90131402,0.00510486,6142,0.00099270,0.00000000,0,0.00000000,4733,4767,378,0.00000007
1523504418.00217390,0.00456318,6142,0.00048979,0.00000000,0,0.00000000,4767,4825,260,0.00000009
1523504418.10302901,0.00456617,6142,0.00052031,0.00000000,0,0.00000000,4825,4837,264,0.00000008
1523504418.20388699,0.00467896,6142,0.00057298,0.00000000,0,0.00000000,4837,4784,289,0.00000007
1523504418.30474496,0.00594490,6214,0.00091414,0.00000000,0,0.00000000,4784,5150,669,0.00000006
1523504418.40560389,0.00662938,6262,0.00086898,0.00000000,0,0.00000000,5150,5413,570,0.00000006
1523504418.50646210,0.00694427,6336,0.00120415,0.00000000,0,0.00000000,5413,5720,504,0.00000007
1523504418.60732102,0.00718177,6393,0.00133887,0.00000000,0,0.00000000,5720,6055,556,0.00000007
1523504418.70817900,0.00679668,6469,0.00085700,0.00000000,0,0.00000000,6055,6369,453,0.00000017
1523504418.80903792,0.00729561,6527,0.00083385,0.00000000,0,0.00000000,6369,6512,432,0.00000018
1523504418.90989804,0.00584341,6575,0.00072851,0.00000000,0,0.00000000,6512,6691,436,0.00000022
1523504419.01075506,0.00561358,6633,0.00074682,0.00000000,0,0.00000000,6691,6851,419,0.00000020
1523504419.11161304,0.00577547,6669,0.00085598,0.00000000,0,0.00000000,6851,6965,432,0.00000018
1523504419.21247005,0.00761446,6665,0.00110382,0.00000000,0,0.00000000,6965,6753,418,0.00000035
1523504419.31332994,0.00545505,6652,0.00063491,0.00000000,0,0.00000000,6753,6871,339,0.00000020
1523504419.41418791,0.00615098,6665,0.00075390,0.00000000,0,0.00000000,6871,6944,333,0.00000011
1523504419.51504707,0.00729508,6665,0.00074987,0.00000000,0,0.00000000,6944,7090,359,0.00000019
1523504419.61590505,0.00720800,6666,0.00055383,0.00000000,0,0.00000000,7090,7331,321,0.00000014
1523504419.71676612,0.00674057,6656,0.00070642,0.00000000,0,0.00000000,7331,7497,374,0.00000050
1523504419.81762505,0.00650664,6660,0.00057234,0.00000000,0,0.00000000,7497,7589,287,0.00000017
1523504419.91848111,0.00622708,6664,0.00060680,0.00000000,0,0.00000000,7589,7683,313,0.00000017
1523504420.01934195,0.00620902,6650,0.00045217,0.00000000,0,0.00000000,7683,7852,252,0.00000020
1523504420.12019610,0.00741476,6656,0.00085884,0.00000000,0,0.00000000,7852,7993,330,0.00000017
1523504420.22105408,0.00722344,6655,0.00103978,0.00000000,0,0.00000000,7753,7911,288,0.00000020
1523504420.32191706,0.00750074,6654,0.00114308,0.00000000,0,0.00000000,7560,7821,261,0.00000020
1523504420.42277098,0.00561096,6660,0.00043348,0.00000000,0,0.00000000,6848,7095,279,0.00000022
1523504420.52363110,0.00722105,6666,0.00077651,0.00000000,0,0.00000000,7095,7321,296,0.00000014
1523504420.62448907,0.00562072,6658,0.00038507,0.00000000,0,0.00000000,7321,7537,251,0.00000018
1523504420.72534609,0.00581513,6650,0.00040992,0.00000000,0,0.00000000,7537,7691,230,0.00000022
1523504420.82620406,0.00764065,6629,0.00083304,0.00000000,0,0.00000000,7691,7909,282,0.00000026
1523504420.92706299,0.00585337,6620,0.00042583,0.00000000,0,0.00000000,7909,8115,262,0.00000013
1523504421.02792001,0.00554762,6631,0.00042389,0.00000000,0,0.00000000,8115,8302,263,0.00000015
1523504421.12878489,0.00706305,6610,0.00068220,0.00000000,0,0.00000000,8302,8476,297,0.00000020
1523504421.22963810,0.00717185,6606,0.00084618,0.00000000,0,0.00000000,8476,8549,249,0.00000015
1523504421.33049607,0.00701602,6601,0.00086357,0.00000000,0,0.00000000,8549,8718,271,0.00000019
1523504421.43135405,0.00529320,6584,0.00043080,0.00000000,0,0.00000000,8718,8866,229,0.00000013
1523504421.53221512,0.00776814,6564,0.00096727,0.00000000,0,0.00000000,8866,8967,271,0.00000028
1523504421.63307190,0.00598270,6552,0.00048876,0.00000000,0,0.00000000,8967,9075,195,0.00000023
1523504421.73393106,0.00650641,6526,0.00040290,0.00000000,0,0.00000000,9075,9180,185,0.00000023
1523504421.83478904,0.00555977,6543,0.00033336,0.00000000,0,0.00000000,9180,9285,173,0.00000022
1523504421.93564796,0.00582470,6574,0.00049776,0.00000000,0,0.00000000,9285,9269,203,0.00000025
1523504422.03652000,0.00708446,6604,0.00079262,0.00000000,0,0.00000000,9269,9343,217,0.00000019
1523504422.13737607,0.00649787,6625,0.00045143,0.00000000,0,0.00000000,9343,9461,212,0.00000020
1523504422.23823690,0.00708267,6597,0.00054162,0.00000000,0,0.00000000,9461,9573,197,0.00000016
1523504422.33908701,0.00568823,6634,0.00040528,0.00000000,0,0.00000000,9573,9637,211,0.00000027
1523504422.43995309,0.00646072,6692,0.00062150,0.00000000,0,0.00000000,9637,9624,146,0.00000020
1523504422.54080892,0.00685518,6793,0.00051695,0.00000000,0,0.00000000,9624,9663,192,0.00000021
1523504422.64166093,0.00717063,6868,0.00085520,0.00000000,0,0.00000000,9663,9606,163,0.00000018
1523504422.74252510,0.00583741,6954,0.00038583,0.00000000,0,0.00000000,9606,9676,171,0.00000020
1523504422.84337902,0.00748032,7014,0.00051517,0.00000000,0,0.00000000,9676,9771,164,0.00000015
1523504422.94424510,0.00692370,7087,0.00059356,0.00000000,0,0.00000000,9771,9792,147,0.00000062
1523504423.04510188,0.00667203,7166,0.00028663,0.00000000,0,0.00000000,9792,9895,144,0.00000013
1523504423.14596510,0.00731851,7233,0.00050859,0.00000000,0,0.00000000,9895,9946,142,0.00000018
1523504423.24681091,0.00657969,7294,0.00045797,0.00000000,0,0.00000000,9946,9980,138,0.00000013
1523504423.34766889,0.00714707,7370,0.00045923,0.00000000,0,0.00000000,9980,10045,141,0.00000018
1523504423.44852591,0.00674308,7425,0.00035256,0.00000000,0,0.00000000,10045,10069,141,0.00000018
1523504423.54939103,0.00633583,7499,0.00034968,0.00000000,0,0.00000000,10069,10154,157,0.00000019
1523504423.65024400,0.00503628,5843,0.00025548,0.00000000,0,0.00000000,10154,10194,117,0.00000019
1523504423.75110197,0.00494189,5904,0.00023112,0.00000000,0,0.00000000,10194,10235,110,0.00000018
1523504423.85196209,0.00591770,5968,0.00027486,0.00000000,0,0.00000000,10235,10285,116,0.00000020
1523504423.95282602,0.00671537,6036,0.00035276,0.00000000,0,0.00000000,10285,10274,113,0.00000018
1523504424.05368400,0.00679792,6093,0.00035651,0.00000000,0,0.00000000,10274,10308,100,0.00000013
1523504424.15455008,0.00510271,6149,0.00026226,0.00000000,0,0.00000000,10308,10322,124,0.00000007
1523504424.25540090,0.00593519,6206,0.00026950,0.00000000,0,0.00000000,10322,10354,107,0.00000016
1523504424.35625911,0.00610518,6272,0.00028855,0.00000000,0,0.00000000,10354,10346,104,0.00000016
1523504424.45711708,0.00518540,6339,0.00030644,0.00000000,0,0.00000000,10346,10356,111,0.00000022
1523504424.55797696,0.00520945,6405,0.00020984,0.00000000,0,0.00000000,10356,10380,91,0.00000016
1523504424.65883088,0.00590984,6455,0.00031897,0.00000000,0,0.00000000,10380,10353,105,0.00000021
1523504424.75969005,0.00580245,6501,0.00029371,0.00000000,0,0.00000000,10353,10364,94,0.00000018
1523504424.86053991,0.00674926,6560,0.00025104,0.00000000,0,0.00000000,10364,10382,95,0.00000016
1523504424.96139908,0.00611517,6607,0.00031204,0.00000000,0,0.00000000,10382,10380,116,0.00000028
1523504425.06226707,0.00684236,6613,0.00039193,0.00000000,0,0.00000000,10380,10384,86,0.00000016
1523504425.16311312,0.00725403,6625,0.00041076,0.00000000,0,0.00000000,10384,10342,87,0.00000026
1523504425.26398611,0.00707288,6599,0.00023323,0.00000000,0,0.00000000,10342,10393,104,0.00000020
1523504425.36484408,0.00699352,6589,0.00039955,0.00000000,0,0.00000000,10393,10422,101,0.00000006
1523504425.46570110,0.00626475,6612,0.00043390,0.00000000,0,0.00000000,10422,10277,101,0.00000013
1523504425.56656003,0.00675374,6612,0.00040805,0.00000000,0,0.00000000,10277,10277,106,0.00000021
1523504425.66741800,0.00710456,6606,0.00054337,0.00000000,0,0.00000000,10277,10273,101,0.00000019
1523504425.76827693,0.00714028,6588,0.00043740,0.00000000,0,0.00000000,10273,10278,102,0.00000405
1523504425.86912799,0.00616036,6609,0.00033324,0.00000000,0,0.00000000,10278,10319,109,0.00000026
1523504425.96998596,0.00698375,6621,0.00048750,0.00000000,0,0.00000000,10319,10378,135,0.00000018
1523504426.07085109,0.00739254,6626,0.00045585,0.00000000,0,0.00000000,10378,10362,110,0.00000017
1523504426.17170310,0.00713824,6639,0.00031370,0.00000000,0,0.00000000,10362,10412,104,0.00000028
1523504426.27256107,0.00634704,6651,0.00035504,0.00000000,0,0.00000000,10412,10520,148,0.00000020
1523504426.37343192,0.00572292,6648,0.00041405,0.00000000,0,0.00000000,10520,10561,198,0.00000020
1523504426.47428489,0.00681995,6651,0.00049494,0.00000000,0,0.00000000,10561,10593,239,0.00000024
1523504426.57515097,0.00613024,6635,0.00051426,0.00000000,0,0.00000000,10593,10721,250,0.00000023
1523504426.67600012,0.00678628,6640,0.00050493,0.00000000,0,0.00000000,10721,10645,212,0.00000017
1523504426.77684808,0.00596619,6642,0.00079321,0.00000000,0,0.00000000,10645,10489,220,0.00000019
1523504426.87771893,0.00544874,6613,0.00042594,0.00000000,0,0.00000000,10489,10581,235,0.00000019
1523504426.97858906,0.00736548,6614,0.00045617,0.00000000,0,0.00000000,10581,10726,235,0.00000012
1523504427.07943106,0.00642880,6614,0.00065830,0.00000000,0,0.00000000,10726,10772,290,0.00000011
1523504427.18029308,0.00666870,6623,0.00058378,0.00000000,0,0.00000000,10772,10912,323,0.00000015
1523504427.28115106,0.00703273,6631,0.00069355,0.00000000,0,0.00000000,10912,11040,362,0.00000013
1523504427.38200903,0.00717160,6635,0.00109397,0.00000000,0,0.00000000,11040,11103,430,0.00000021
1523504427.48287797,0.00700293,6643,0.00079403,0.00000000,0,0.00000000,11103,11222,416,0.00000011
1523504427.58372211,0.00982531,6650,0.00131028,0.00000000,0,0.00000000,11222,11382,464,0.00000016
1523504427.68458390,0.00861504,6639,0.00141128,0.00000000,0,0.00000000,11382,11581,484,0.00000021
1523504427.78544688,0.00699276,6648,0.00088396,0.00000000,0,0.00000000,11581,11777,496,0.00000013
1523504427.88629389,0.00853008,6675,0.00140343,0.00000000,0,0.00000000,11777,11999,501,0.00000021
1523504427.98715901,0.00642477,6711,0.00086360,0.00000000,0,0.00000000,11999,12259,492,0.00000020
1523504428.08801007,0.00926374,6732,0.00170827,0.00000000,0,0.00000000,12259,12506,554,0.00000015
1523504428.18887711,0.00807152,6778,0.00128650,0.00000000,0,0.00000000,12506,12805,582,0.00000029
1523504428.28973603,0.00916830,6837,0.00204227,0.00000000,0,0.00000000,12805,12944,607,0.00000017
1523504428.39059305,0.00660470,6904,0.00110779,0.00000000,0,0.00000000,12944,13070,607,0.00000023
1523504428.49145293,0.00844696,6959,0.00171662,0.00000000,0,0.00000000,13070,13209,668,0.00000022
1523504428.59230494,0.00693234,7021,0.00107604,0.00000000,0,0.00000000,13209,13655,665,0.00000019
1523504428.69316006,0.00904530,7080,0.00177373,0.00000000,0,0.00000000,13655,14048,718,0.00000016
1523504428.79402494,0.00904497,7156,0.00171398,0.00000000,0,0.00000000,14048,14555,709,0.00000020
1523504428.89488506,0.00819056,7211,0.00156236,0.00000000,0,0.00000000,14555,14980,691,0.00000024
1523504428.99574304,0.00730709,7271,0.00135759,0.00000000,0,0.00000000,14980,15461,726,0.00000021
1523504429.09661603,0.00946420,7314,0.00206256,0.00000000,0,0.00000000,15461,15857,699,0.00000026
1523504429.19745994,0.00893412,7375,0.00160858,0.00000000,0,0.00000000,15857,16353,702,0.00000018
1523504429.29831290,0.00976398,7441,0.00266959,0.00000000,0,0.00000000,16353,16766,689,0.00000020
1523504429.39917493,0.00876055,7501,0.00177559,0.00000000,0,0.00000000,16766,17242,694,0.00000071
1523504429.50003409,0.00758626,5837,0.00129747,0.00000000,0,0.00000000,16912,17435,630,0.00000018
1523504429.60089207,0.00846519,5918,0.00166829,0.00000000,0,0.00000000,17435,17887,591,0.00000021
1523504429.70175290,0.00645997,5989,0.00128356,0.00000000,0,0.00000000,17887,18366,595,0.00000018
1523504429.80260301,0.00705685,6045,0.00149004,0.00000000,0,0.00000000,18366,18828,605,0.00000052
1523504429.90346694,0.00704692,6090,0.00149467,0.00000000,0,0.00000000,18828,19302,625,0.00000021
1523504430.00433111,0.00956355,6161,0.00267708,0.00000000,0,0.00000000,19302,19340,613,0.00000022
1523504430.10518289,0.00780447,6219,0.00227281,0.00000000,0,0.00000000,19340,19834,614,0.00000015
1523504430.20605206,0.00722631,6271,0.00090205,0.00000000,0,0.00000000,19238,19848,625,0.00000018
1523504430.30690503,0.00655743,6339,0.00088072,0.00000000,0,0.00000000,19848,20452,641,0.00000018
1523504430.40775204,0.00669454,6397,0.00109345,0.00000000,0,0.00000000,20452,21039,680,0.00000013
1523504430.50861502,0.00763732,6445,0.00137220,0.00000000,0,0.00000000,21039,21591,663,0.00000017
1523504430.60948706,0.00760680,6506,0.00154860,0.00000000,0,0.00000000,21591,22159,678,0.00000016
1523504430.71033096,0.00800942,6564,0.00164183,0.00000000,0,0.00000000,22159,22711,684,0.00000020
1523504430.81118488,0.00743961,6597,0.00134819,0.00000000,0,0.00000000,22711,23253,667,0.00000018
1523504430.91204906,0.00770662,6599,0.00187180,0.00000000,0,0.00000000,23253,23750,682,0.00000020
1523504431.01290798,0.00826916,6593,0.00195051,0.00000000,0,0.00000000,23750,24247,663,0.00000017
1523504431.11376691,0.00811511,6585,0.00171511,0.00000000,0,0.00000000,24247,24782,662,0.00000021
1523504431.21462798,0.00775495,6574,0.00180103,0.00000000,0,0.00000000,24782,25304,641,0.00000020
1523504431.31548405,0.01005432,6585,0.00279030,0.00000000,0,0.00000000,25304,25757,623,0.00000023
1523504431.41634202,0.00965616,6590,0.00238229,0.00000000,0,0.00000000,25757,26218,613,0.00000024
1523504431.51720810,0.00639053,6574,0.00128707,0.00000000,0,0.00000000,26218,26675,611,0.00000017
1523504431.61805797,0.00677906,6581,0.00149782,0.00000000,0,0.00000000,26675,27197,639,0.00000015
1523504431.71891594,0.00616414,6569,0.00131023,0.00000000,0,0.00000000,27166,27693,640,0.00000018
1523504431.81977510,0.00788788,6569,0.00216744,0.00000000,0,0.00000000,27693,28218,650,0.00000020
1523504431.92064595,0.00810217,6565,0.00196268,0.00000000,0,0.00000000,28218,28731,625,0.00000020
1523504432.02148700,0.00783389,6563,0.00223669,0.00000000,0,0.00000000,28731,29220,614,0.00000030
1523504432.12234402,0.00660876,6548,0.00122802,0.00000000,0,0.00000000,29220,29672,597,0.00000014
1523504432.22320795,0.00915837,6569,0.00235762,0.00000000,0,0.00000000,29672,30088,610,0.00000015
1523504432.32406712,0.00954650,6558,0.00227233,0.00000000,0,0.00000000,30088,30578,606,0.00000021
1523504432.42492509,0.00878436,6557,0.00156628,0.00000000,0,0.00000000,30578,31091,588,0.00000018
1523504432.52578402,0.01018460,6547,0.00342357,0.00000000,0,0.00000000,31091,31572,621,0.00000014
1523504432.62663889,0.00966064,6566,0.00254386,0.00000000,0,0.00000000,31572,32108,622,0.00000025
1523504432.72749996,0.00952652,6554,0.00266856,0.00000000,0,0.00000000,32108,32581,639,0.00000019
1523504432.82835197,0.00663492,6546,0.00166343,0.00000000,0,0.00000000,32188,32728,628,0.00000018
1523504432.92922997,0.00946052,6541,0.00261619,0.00000000,0,0.00000000,32728,33247,612,0.00000026
1523504433.03007388,0.00694316,6535,0.00156485,0.00000000,0,0.00000000,33247,33783,643,0.00000019
1523504433.13093495,0.00967337,6530,0.00275829,0.00000000,0,0.00000000,33783,34266,597,0.00000019
1523504433.23179412,0.00774959,6548,0.00131168,0.00000000,0,0.00000000,34196,34753,638,0.00000023
1523504433.33264303,0.00840901,6572,0.00171202,0.00000000,0,0.00000000,34753,35280,614,0.00000024
1523504433.43351007,0.00739740,6559,0.00166642,0.00000000,0,0.00000000,35280,35824,651,0.00000020
1523504433.53437495,0.00721101,6556,0.00156579,0.00000000,0,0.00000000,35824,36292,600,0.00000023
1523504433.63521791,0.00843827,6538,0.00178749,0.00000000,0,0.00000000,36292,36775,558,0.00000017
1523504433.73608208,0.00784445,6559,0.00135585,0.00000000,0,0.00000000,36775,37216,566,0.00000018
1523504433.83693409,0.00761084,6596,0.00178839,0.00000000,0,0.00000000,37211,37707,590,0.00000019
1523504433.93779993,0.00841631,6644,0.00175076,0.00000000,0,0.00000000,37707,38245,641,0.00000014
1523504434.03865790,0.00757589,6706,0.00200565,0.00000000,0,0.00000000,38245,38791,633,0.00000015
1523504434.13952208,0.00746224,6763,0.00134969,0.00000000,0,0.00000000,38064,38648,618,0.00000020
1523504434.24037290,0.00812994,6802,0.00144991,0.00000000,0,0.00000000,38648,39223,612,0.00000019
1523504434.34123302,0.00695919,6825,0.00141105,0.00000000,0,0.00000000,39223,39729,575,0.00000025
1523504434.44209290,0.00628167,6857,0.00108882,0.00000000,0,0.00000000,39711,40201,554,0.00000014
1523504434.54295206,0.01005332,6897,0.00285617,0.00000000,0,0.00000000,40191,40635,511,0.00000026
1523504434.64380908,0.00794227,6979,0.00128111,0.00000000,0,0.00000000,40635,41108,541,0.00000022
1523504434.74465990,0.00749266,7000,0.00125581,0.00000000,0,0.00000000,41108,41582,506,0.00000014
1523504434.84551811,0.00840821,7039,0.00164276,0.00000000,0,0.00000000,41582,41973,488,0.00000015
1523504434.94637609,0.00682129,7078,0.00114931,0.00000000,0,0.00000000,41973,42412,493,0.00000012
1523504435.04722190,0.00761871,7131,0.00139366,0.00000000,0,0.00000000,42381,42827,499,0.00000019
1523504435.14810300,0.00744007,7171,0.00117843,0.00000000,0,0.00000000,42820,43241,467,0.00000015
1523504435.24895906,0.00830995,7233,0.00147624,0.00000000,0,0.00000000,43235,43646,460,0.00000019
1523504435.34980989,0.00632487,5609,0.00138004,0.00000000,0,0.00000000,43646,44052,455,0.00000015
1523504435.45067501,0.00598237,5663,0.00091778,0.00000000,0,0.00000000,44046,44447,440,0.00000021
1523504435.55153108,0.00728242,5713,0.00175923,0.00000000,0,0.00000000,44447,44817,420,0.00000015
1523504435.65239096,0.00729022,5769,0.00143905,0.00000000,0,0.00000000,44813,45195,442,0.00000020
1523504435.75325108,0.00791588,5822,0.00171479,0.00000000,0,0.00000000,45195,45559,409,0.00000017
1523504435.85410905,0.00652753,5872,0.00143876,0.00000000,0,0.00000000,45558,45919,394,0.00000037
1523504435.95497489,0.00670665,5936,0.00091071,0.00000000,0,0.00000000,45698,46096,469,0.00000021
1523504436.05582500,0.00771824,5993,0.00115310,0.00000000,0,0.00000000,46096,46509,485,0.00000019
1523504436.15667796,0.00777731,6047,0.00170198,0.00000000,0,0.00000000,46506,46889,469,0.00000023
1523504436.25754404,0.00612910,6098,0.00097708,0.00000000,0,0.00000000,46889,47213,386,0.00000018
1523504436.35839295,0.00625436,6159,0.00138929,0.00000000,0,0.00000000,47213,47575,406,0.00000023
1523504436.45925903,0.00669444,6199,0.00106682,0.00000000,0,0.00000000,47575,47919,397,0.00000020
1523504436.56011009,0.00651184,6238,0.00108438,0.00000000,0,0.00000000,47919,48273,404,0.00000032
1523504436.66099095,0.00751497,6256,0.00128503,0.00000000,0,0.00000000,48204,48572,410,0.00000014
1523504436.76184201,0.00640436,6268,0.00115724,0.00000000,0,0.00000000,48570,48864,385,0.00000016
1523504436.86268711,0.01018495,6273,0.00345323,0.00000000,0,0.00000000,48864,49215,438,0.00000029
1523504436.96355295,0.00720840,6255,0.00109097,0.00000000,0,0.00000000,48691,49101,420,0.00000018
1523504437.06440592,0.00768375,6258,0.00118840,0.00000000,0,0.00000000,49101,49592,528,0.00000018
